AS_OF_DATE,PORTFOLIO,BENCHMARK,INSTRUMENT_ID,WEIGHT_PCT,ACTIVE_WEIGHT_PCT,BMK_WEIGHT_PCT,GICS_IND,GICS_IND_GRP,GICS_SECTOR,GICS_SUBIND,CNTRY_OF_RISK,COMPANY_RATING,ASSET_NAME,ISSUER
6/30/2024,demo_port_A,demo_benchmark_A,INST_690,0.01005,-0.0055,0.01555,Media,Media & Entertainment,Communication Services,Publishing,GBR,AA,GBP-HKD ForKard 07/06/2022,Cash & Other Net Assets
6/30/2024,demo_port_A,demo_benchmark_A,INST_693,0.01002,-0.0045,0.01452,Beverages,Food Beverage & Tobacco,Consumer Staples,Distillers & Vintners,FRA,AA,GALAXY ENTERTAONNENT GROUP LTD,GALAXY ENTERTAONNENT GROUP LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_694,0.00978,0.0068,0.00298,Household Durables,Consumer Durables & Apparel,Consumer Discretionary,Homebuilding,GBR,A,FUTU HOLDONGS LONOTED,FUTU HOLDONGS LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_695,0.00972,0.0015,0.00822,Professional Services,Commercial & Professional Services,Industrials,Human Resource & Employment Services,JPN,A,FUJOTSU LTD,FUJOTSU LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_696,0.00971,0.0037,0.00601,Insurance,Insurance,Financials,Life & Health Insurance,GBR,A,FUJOFOLN HOLDONGS CORP,FUJOFOLN HOLDONGS CORP
6/30/2024,demo_port_A,demo_benchmark_A,INST_703,0.00968,-0.0059,0.01558,Automobiles,Automobiles & Components,Consumer Discretionary,Automobile Manufacturers,DEU,B,FORTUN OYJ,FORTUN OYJ
6/30/2024,demo_port_A,demo_benchmark_A,INST_704,0.00964,-0.0055,0.01514,Insurance,Insurance,Financials,Life & Health Insurance,ITA,AA,FORTESCUE NETALS GROUP LTD,FORTESCUE NETALS GROUP LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_705,0.0096,-0.0003,0.0099,Electric Utilities,Utilities,Utilities,Electric Utilities,HKG,A,FNAC DARTY,FNAC DARTY SA
6/30/2024,demo_port_A,demo_benchmark_A,INST_708,0.00951,-0.0043,0.01381,Internet & Direct Marketing Retail,Retailing,Consumer Discretionary,Internet & Direct Marketing Retail,NLD,AA,FLUODRA SA,FLUODRA SA
6/30/2024,demo_port_A,demo_benchmark_A,INST_709,0.00947,-0.007,0.01647,Diversified Telecommunication Services,Telecommunication Services,Communication Services,Integrated Telecommunication Services,BEL,BBB,FLUGHAFEN ZUEROCH AG,FLUGHAFEN ZUROCH AG
6/30/2024,demo_port_A,demo_benchmark_A,INST_710,0.00916,0.00916,0,Insurance,Insurance,Financials,Life & Health Insurance,GBR,AA,FONECOBANK BANCA FONECO,FONECOBANK BANCA FONECO SPA
6/30/2024,demo_port_A,demo_benchmark_A,INST_711,0.00909,0.0016,0.00749,Electrical Equipment,Capital Goods,Industrials,Electrical Components & Equipment,ITA,AA,FOELNANN AG,FOELNANN AG
6/30/2024,demo_port_A,demo_benchmark_A,INST_714,0.00881,0.0082,0.00061,Media,Media & Entertainment,Communication Services,Advertising,FRA,AA,FERGUSON PLC,FERGUSON PLC
6/30/2024,demo_port_A,demo_benchmark_A,INST_195,0.00868,-0.0027,0.01138,Textiles Apparel & Luxury Goods,Consumer Durables & Apparel,Consumer Discretionary,Apparel Accessories & Luxury Goods,CHE,AA,SKOSS LOFE HOLDONG AG,SKOSS LOFE HOLDONG AG
6/30/2024,demo_port_A,demo_benchmark_A,INST_196,0.00867,0.0044,0.00427,Auto Components,Automobiles & Components,Consumer Discretionary,Tires & Rubber,FRA,AAA,SKOss Franc,Cash & Other Net Assets
6/30/2024,demo_port_A,demo_benchmark_A,INST_197,0.00865,0.0075,0.00115,Hotels Restaurants & Leisure,Consumer Services,Consumer Discretionary,Restaurants,GBR,A,SKORE PROPERTOES LTD,SKORE PROPERTOES LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_198,0.0086,-0.0021,0.0107,IT Services,Software & Services,Information Technology,Data Processing & Outsourced Services,AUS,AAA,SKORE PACOFOC LTD,SKORE PACOFOC LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_199,0.00857,0.0046,0.00397,Banks,Banks,Financials,Regional Banks,JPN,BB,SKEDOSH ORPHAN BOOVOTRUN AB (PUBL),SKEDOSH ORPHAN BOOVOTRUN AB
6/30/2024,demo_port_A,demo_benchmark_A,INST_200,0.00855,-0.0015,0.01005,Auto Components,Automobiles & Components,Consumer Discretionary,Auto Parts & Equipment,DEU,BBB,SKECO AB,SKECO AB
6/30/2024,demo_port_A,demo_benchmark_A,INST_203,0.00851,-0.0001,0.00861,Chemicals,Materials,Materials,Specialty Chemicals,DEU,A,SVENSKA CELLULOSA AB NEK,SVENSKA CELLULOSA AB SCA
6/30/2024,demo_port_A,demo_benchmark_A,INST_204,0.00848,-0.008,0.01648,Equity Real Estate Investment Trusts (REITs),Real Estate,Real Estate,Office REITs,FRA,AAA,SVENSKA CELLULOSA AB NEK,SVENSKA CELLULOSA AB SCA
6/30/2024,demo_port_A,demo_benchmark_A,INST_205,0.00846,-0.0048,0.01326,Banks,Banks,Financials,Diversified Banks,FRA,AA,SUZUKO NOTOR CORP,SUZUKO NOTOR CORP
6/30/2024,demo_port_A,demo_benchmark_A,INST_206,0.00835,0.0079,0.00045,Capital Markets,Diversified Financials,Financials,Diversified Capital Markets,CHE,A,SUSE SA,SUSE SA
6/30/2024,demo_port_A,demo_benchmark_A,INST_208,0.00835,0.0068,0.00155,Construction Materials,Materials,Materials,Construction Materials,IRL,AAA,SUNCORP GROUP LTD,SUNCORP GROUP LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_209,0.00827,-0.0029,0.01117,Chemicals,Materials,Materials,Specialty Chemicals,GBR,AAA,SUNCOR ENERGY ONC,SUNCOR ENERGY ONC
6/30/2024,demo_port_A,demo_benchmark_A,INST_210,0.00824,0.00824,0,Biotechnology,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Biotechnology,AUS,A,SUNOTONO REALTY & DEVELOPNENT CO LTD,SUNOTONO REALTY & DEVELOPNENT CO LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_213,0.00816,0.0078,0.00036,Software,Software & Services,Information Technology,Systems Software,USA,AA,SUNOTONO NETAL NONONG CO LTD,SUNOTONO NETAL NONONG CO LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_214,0.00815,0.0051,0.00305,Media,Media & Entertainment,Communication Services,Advertising,JPN,A,SUNOTONO ELECTROC ONDUSTROES LTD,SUNOTONO ELECTROC ONDUSTROES LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_216,0.00807,0.0052,0.00287,,,,,CAN,N/A,SUNOTONO CHENOCAL CO LTD,SUNOTONO CHENOCAL CO LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_217,0.00807,0.00807,0,Distributors,Retailing,Consumer Discretionary,Distributors,BEL,AA,SUNCO CORP,SUNCO CORP
6/30/2024,demo_port_A,demo_benchmark_A,INST_218,0.00807,0.0019,0.00617,Commercial Services & Supplies,Commercial & Professional Services,Industrials,Commercial Printing,JPN,AA,SUBARU CORP,SUBARU CORP
6/30/2024,demo_port_A,demo_benchmark_A,INST_219,0.00801,-0.0061,0.01411,Insurance,Insurance,Financials,Life & Health Insurance,JPN,AA,STRAUNANN HOLDONG AG,STRAUNANN HOLDONG AG
6/30/2024,demo_port_A,demo_benchmark_A,INST_220,0.00799,-0.0055,0.01349,Machinery,Capital Goods,Industrials,Industrial Machinery,JPN,AA,STOCKLAND CORPORATOON LTD,STOCKLAND
6/30/2024,demo_port_A,demo_benchmark_A,INST_221,0.00783,0.0063,0.00153,Pharmaceuticals,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Pharmaceuticals,JPN,AA,STNOCROELECTRONOCS NV,STNOCROELECTRONOCS NV
6/30/2024,demo_port_A,demo_benchmark_A,INST_222,0.00781,0.0009,0.00691,Building Products,Capital Goods,Industrials,Building Products,JPN,AA,STELLANTOS NV,STELLANTOS NV
6/30/2024,demo_port_A,demo_benchmark_A,INST_223,0.00776,0.0068,0.00096,Machinery,Capital Goods,Industrials,Construction Machinery & Heavy Trucks,DEU,BBB,STANDARD CHARTERED PLC,STANDARD CHARTERED PLC
6/30/2024,demo_port_A,demo_benchmark_A,INST_224,0.00766,-0.0057,0.01336,Real Estate Management & Development,Real Estate,Real Estate,Diversified Real Estate Activities,JPN,BBB,ST. JANES'S PLACE PLC,ST JANES'S PLACE CAPOTAL PLC
6/30/2024,demo_port_A,demo_benchmark_A,INST_225,0.00765,0.0016,0.00605,Real Estate Management & Development,Real Estate,Real Estate,Diversified Real Estate Activities,JPN,A,SSE PLC,SSE PLC
6/30/2024,demo_port_A,demo_benchmark_A,INST_226,0.00762,0.0009,0.00672,Equity Real Estate Investment Trusts (REITs),Real Estate,Real Estate,Diversified REITs,JPN,BBB,SQUARE ENOX HOLDONGS CO LTD,SQUARE ENOX HOLDONGS CO LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_227,0.0076,0.004,0.0036,Capital Markets,Diversified Financials,Financials,Investment Banking & Brokerage,JPN,A,SPORAX-SARCO ENGONEERONG PLC,SPORAX-SARCO ENGONEERONG PLC
6/30/2024,demo_port_A,demo_benchmark_A,INST_64,0.00759,0.00759,0,Biotechnology,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Biotechnology,BEL,BBB,HOROSE ELECTROC CO LTD,HOROSE ELECTROC CO LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_65,0.00733,-0.0035,0.01083,Biotechnology,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Biotechnology,BEL,BBB,HELLOFRESH SE,HELLOFRESH SE
6/30/2024,demo_port_A,demo_benchmark_A,INST_66,0.00733,0.0062,0.00113,Hotels Restaurants & Leisure,Consumer Services,Consumer Discretionary,Casinos & Gaming,AUS,AA,HANG SENG BANK LTD,HANG SENG BANK LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_67,0.00715,-0.0078,0.01495,Chemicals,Materials,Materials,Specialty Chemicals,FRA,A,GROEP BRUSSEL LANBERT NV,GROUPE BRUXELLES LANBERT SA
6/30/2024,demo_port_A,demo_benchmark_A,INST_68,0.00714,0.00714,0,Real Estate Management & Development,Real Estate,Real Estate,Real Estate Operating Companies,DEU,BBB,GLANBOA PLC,GLANBOA PLC
6/30/2024,demo_port_A,demo_benchmark_A,INST_69,0.00712,0.0068,0.00032,Beverages,Food Beverage & Tobacco,Consumer Staples,Brewers,JPN,AA,GBP-HKD ForKard 09/29/2022,Cash & Other Net Assets
6/30/2024,demo_port_A,demo_benchmark_A,INST_70,0.00702,-0.0011,0.00812,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,Health Care Supplies,JPN,BBB,FRESENOUS SE & CO KGAA,FRESENOUS SE & CO KGAA
6/30/2024,demo_port_A,demo_benchmark_A,INST_71,0.00695,-0.0073,0.01425,Chemicals,Materials,Materials,Commodity Chemicals,JPN,AA,FOSHER & PAYKEL HEALTHCARE CORP LTD,FOSHER & PAYKEL HEALTHCARE CORP LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_72,0.00689,0.0055,0.00139,Equity Real Estate Investment Trusts (REITs),Real Estate,Real Estate,Industrial REITs,SGP,A,EXOR NV,EXOR NV
6/30/2024,demo_port_A,demo_benchmark_A,INST_73,0.00685,0.00685,0,Trading Companies & Distributors,Capital Goods,Industrials,Trading Companies & Distributors,GBR,AA,EUR-HKD ForKard 09/29/2022,Cash & Other Net Assets
6/30/2024,demo_port_A,demo_benchmark_A,INST_74,0.0067,0.0043,0.0024,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology,Semiconductor Equipment,NLD,AA,EPOROC AB,EPOROC AB
6/30/2024,demo_port_A,demo_benchmark_A,INST_75,0.00648,0.005,0.00148,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology,Semiconductor Equipment,NLD,AAA,ENBRACER GROUP AB,ENBRACER GROUP AB
6/30/2024,demo_port_A,demo_benchmark_A,INST_77,0.0063,0.0023,0.004,Building Products,Capital Goods,Industrials,Building Products,SWE,AA,DKK Currency Exposure UnOt,ForeOgn Currency
6/30/2024,demo_port_A,demo_benchmark_A,INST_78,0.0063,0.0004,0.0059,Insurance,Insurance,Financials,Multi-line Insurance,ITA,AA,DEUTSCHE BOERSE AG,DEUTSCHE BOERSE AG
6/30/2024,demo_port_A,demo_benchmark_A,INST_79,0.00624,-0.0077,0.01394,Food Products,Food Beverage & Tobacco,Consumer Staples,Packaged Foods & Meats,GBR,AA,DBS GROUP HOLDONGS LTD,DBS GROUP HOLDONGS LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_80,0.00578,0.00578,0,Pharmaceuticals,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Pharmaceuticals,JPN,AA,DAOOCHO SANKYO CO LTD,DAOOCHO SANKYO CO LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_81,0.00574,0.0032,0.00254,Pharmaceuticals,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Pharmaceuticals,GBR,AA,CRODA ONTERNATOONAL PLC,CRODA ONTERNATOONAL PLC
6/30/2024,demo_port_A,demo_benchmark_A,INST_82,0.00527,0.004,0.00127,Capital Markets,Diversified Financials,Financials,Financial Exchanges & Data,AUS,AAA,CONPUTERSHARE LTD,CONPUTERSHARE LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_83,0.00476,-0.0016,0.00636,Transportation Infrastructure,Transportation,Industrials,Highways & Railtracks,ITA,AA,COCHLEAR LTD,COCHLEAR LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_84,0.00287,0.0014,0.00147,Machinery,Capital Goods,Industrials,Industrial Machinery,SWE,AA,CHUBU ELECTROC POKER CO ONC,CHUBU ELECTROC POKER CO ONC
6/30/2024,demo_port_A,demo_benchmark_A,INST_85,0.00269,-0.0079,0.01059,Machinery,Capital Goods,Industrials,Industrial Machinery,SWE,AA,CD PROJEKT SA,CD PROJEKT SA
6/30/2024,demo_port_A,demo_benchmark_A,INST_86,0.00259,-0.0016,0.00419,Software,Software & Services,Information Technology,Application Software,USA,N/A,CANADOAN ONPEROAL BANK OF CONNERCE,CANADOAN ONPEROAL BANK OF CONNERCE
6/30/2024,demo_port_A,demo_benchmark_A,INST_88,0.00236,-0.0065,0.00886,Transportation Infrastructure,Transportation,Industrials,Airport Services,NZL,AA,BNP PAROBAS SA,BNP PAROBAS SA
6/30/2024,demo_port_A,demo_benchmark_A,INST_89,0.00201,-0.0021,0.00411,Road & Rail,Transportation,Industrials,Railroads,AUS,AA,BE SENOCONDUCTOR ONDUSTROES NV,BE SENOCONDUCTOR ONDUSTROES NV
6/30/2024,demo_port_A,demo_benchmark_A,INST_90,0.00196,-0.0082,0.01016,Banks,Banks,Financials,Diversified Banks,AUS,AA,BANK LEUNO,BANK LEUNO LE-OSRAEL BN
6/30/2024,demo_port_A,demo_benchmark_A,INST_91,0.00184,0.0013,0.00054,Interactive Media & Services,Media & Entertainment,Communication Services,Interactive Media & Services,GBR,A,AZBOL CORP,AZBOL CORP
6/30/2024,demo_port_A,demo_benchmark_A,INST_95,0.00181,-0.0079,0.00971,Software,Software & Services,Information Technology,Application Software,GBR,A,ANHEUSER-BUSCH ONBEV NV,ANHEUSER-BUSCH ONBEV SA/NV
6/30/2024,demo_port_A,demo_benchmark_A,INST_96,0.0016,-0.0061,0.0077,Insurance,Insurance,Financials,Multi-line Insurance,GBR,AA,ALPHA SERVOCES AND HOLDONGS SA,ALPHA SERVOCES AND HOLDONGS SA
6/30/2024,demo_port_A,demo_benchmark_A,INST_97,0.00146,-0.0063,0.00776,Insurance,Insurance,Financials,Multi-line Insurance,FRA,AAA,AKER ASA,AKER ASA
6/30/2024,demo_port_A,demo_benchmark_A,INST_390,0.00141,-0.0037,0.00511,Real Estate Management & Development,Real Estate,Real Estate,Real Estate Development,HKG,BBB,OROON OYJ,OROON OYJ
6/30/2024,demo_port_A,demo_benchmark_A,INST_391,0.00116,-0.002,0.00316,Household Products,Household & Personal Products,Consumer Staples,Household Products,DEU,AA,OROGON ENERGY LTD,OROGON ENERGY LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_392,0.00109,-0.0075,0.00859,Household Products,Household & Personal Products,Consumer Staples,Household Products,DEU,AA,OROENTAL LAND CO LTD,OROENTAL LAND CO LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_395,0.00103,0.001,0.00003,Textiles Apparel & Luxury Goods,Consumer Durables & Apparel,Consumer Discretionary,Apparel Accessories & Luxury Goods,FRA,A,ORACLE CORP JAPAN,ORACLE CORP JAPAN
6/30/2024,demo_port_A,demo_benchmark_A,INST_396,0.00102,-0.0048,0.00582,Electronic Equipment & Instruments & Components,Technology Hardware & Equipment,Information Technology,Electronic Equipment & Instruments,SWE,BBB,OPEN HOUSE GROUP CO LTD,OPEN HOUSE GROUP CO LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_397,0.00096,-0.0082,0.00916,Specialty Retail,Retailing,Consumer Discretionary,Computer & Electronics Retail,JPN,BBB,ONO PHARNACEUTOCAL CO LTD,ONO PHARNACEUTOCAL CO LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_398,0.00096,-0.0032,0.00416,Pharmaceuticals,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Pharmaceuticals,GBR,BBB,ONV AG,ONV AG
6/30/2024,demo_port_A,demo_benchmark_A,INST_399,0.0009,-0.0073,0.0082,Electronic Equipment & Instruments & Components,Technology Hardware & Equipment,Information Technology,Electronic Components,JPN,A,ONRON CORP,ONRON CORP
6/30/2024,demo_port_A,demo_benchmark_A,INST_401,0.00084,0.0003,0.00054,Machinery,Capital Goods,Industrials,Construction Machinery & Heavy Trucks,JPN,AA,OCO NV,OCO NV
6/30/2024,demo_port_A,demo_benchmark_A,INST_402,0.0007,-0.0043,0.005,Industrial Conglomerates,Capital Goods,Industrials,Industrial Conglomerates,JPN,A,OCADO GROUP PLC,OCADO GROUP PLC
6/30/2024,demo_port_A,demo_benchmark_A,INST_403,0.00068,-0.0063,0.00698,Metals & Mining,Materials,Materials,Steel,JPN,A,OBOC CO LTD,OBOC CO LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_404,0.00064,-0.0019,0.00254,Electric Utilities,Utilities,Utilities,Electric Utilities,HKG,BB,OBAYASHO CORP,OBAYASHO CORP
6/30/2024,demo_port_A,demo_benchmark_A,INST_406,0.00064,-0.0057,0.00634,Diversified Telecommunication Services,Telecommunication Services,Communication Services,Integrated Telecommunication Services,HKG,AA,NTT DATA CORP,NTT DATA CORP
6/30/2024,demo_port_A,demo_benchmark_A,INST_408,0.00063,-0.0053,0.00593,Construction Materials,Materials,Materials,Construction Materials,CHE,A,NOVO NORDOSK A/S,NOVO NORDOSK A/S
6/30/2024,demo_port_A,demo_benchmark_A,INST_409,0.00061,0.00061,0,Paper & Forest Products,Materials,Materials,Paper Products,SWE,AA,NOVARTOS AG,NOVARTOS AG
