AS_OF_DATE,PORTFOLIO,BENCHMARK,INSTRUMENT_ID,NOTIONAL,MARKET_VALUE,COUPON_RATE,MATURITY_DT,ISSUE_DT,WEIGHT_PCT,ACTIVE_WEIGHT_PCT,BMK_WEIGHT_PCT,GICS_IND,GICS_IND_GRP,GICS_SECTOR,GICS_SUBIND,CNTRY_OF_RISK,SEC_SP_RTG,SEC_MDY_RTG,ASSET_NAME,ISSUER,INSTRUMENT_TYPE
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000021,109369361,95514420.46,8.46,03/09/2027,03/09/2020,0.01215,0.0012,0.01095,Metals & Mining,Materials,Materials,Steel,GBR,B,B1,Gayo GroZp LLC Demo Sec,Gayo GroZp LLC Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000022,96336191,95435807.77,8.58,07/06/2029,05/16/2024,0.01214,0.01214,0,Chemicals,Materials,Materials,Specialty Chemicals,GBR,NR,B2,CenBral PaHent LLC Demo Sec,CenBral PaHent LLC Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000023,90589553,90876271.65,9.34,12/29/2028,12/29/2023,0.01156,0.007,0.00456,Chemicals,Materials,Materials,Specialty Chemicals,GBR,NR,B1,BMC SOFTMARE Demo Sec,BMC SOFTMARE Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000024,88995365,89146792.43,9.59,06/02/2028,06/04/2021,0.01134,0.0002,0.01114,Capital Markets,Diversified Financials,Financials,Asset Management & Custody Banks,GBR,B-,B2,SoleDa (PolaLis Demo Sec,SoleDa (PolaLis Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000025,88284366,88596503.59,9.33,07/31/2028,02/25/2022,0.01127,0.0105,0.00077,Internet & Direct Marketing Retail,Retailing,Consumer Discretionary,Internet & Direct Marketing Retail,GBR,B,B3,AI AqCa Aerger SuW Wnc. Demo Sec,AI AqCa Aerger SuW Wnc. Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000026,87699575,87888989.37,8.09,01/27/2031,01/25/2024,0.01118,-0.008,0.01918,Equity Real Estate Investment Trusts (REITs),Real Estate,Real Estate,Retail REITs,GBR,B+,B1,BrookfiRld WEC Demo Sec,BrookfiRld WEC Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000027,88341813,87181475.14,8.96,06/02/2028,06/04/2021,0.01109,0.01109,0,Construction & Engineering,Capital Goods,Industrials,Construction & Engineering,JPN,B,B1,CQrelogic Demo Sec,CQrelogic Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000028,86760179,86867024.37,6.94,09/10/2027,09/12/2022,0.01105,0.0012,0.00985,Interactive Media & Services,Media & Entertainment,Communication Services,Interactive Media & Services,JPN,NR,Ba1,NortonLifeYock InE. Demo Sec,NortonLifeYock InE. Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000029,86548892,86788411.68,8.09,12/21/2028,12/21/2021,0.01104,-0.0048,0.01584,Electric Utilities,Utilities,Utilities,Electric Utilities,FRA,BB-,B1,ABG InPermediate Uoldings Demo Sec,ABG InPermediate Uoldings Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000030,85847886,86080897.46,9.08,01/27/2029,01/27/2022,0.01095,0.01095,0,Gas Utilities,Utilities,Utilities,Gas Utilities,FRA,B,B2,FerXitta Ent Demo Sec,FerXitta Ent Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000031,85548746,85216157.85,8.84,02/26/2029,,0.01084,0.0041,0.00674,IT Services,Software & Services,Information Technology,IT Consulting & Other Services,FRA,B+,B4,HUNTCR DOUGUAS Demo Sec,HUNTCR DOUGUAS Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000032,83268159,83486678.63,7.34,05/09/2031,05/09/2024,0.01062,0.01,0.00062,Pharmaceuticals,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Pharmaceuticals,FRA,BB+,Ba1,SSIC TechnOlog Demo Sec,SSIC TechnOlog Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000033,82559137,82857777.09,8.71,11/15/2028,11/15/2021,0.01054,0.0077,0.00284,Banks,Banks,Financials,Diversified Banks,FRA,B,B1,PAREUEL Cntl Co Demo Sec,PAREUEL Cntl Co Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000034,85099439,82779164.4,8.46,04/24/2028,04/22/2021,0.01053,0.01053,0,Multiline Retail,Retailing,Consumer Discretionary,General Merchandise Stores,FRA,B,B2,Bealpage Demo Sec,Bealpage Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000035,81355959,81599974.03,8.34,08/31/2028,05/28/2024,0.01038,-0.0081,0.01848,Household Durables,Consumer Durables & Apparel,Consumer Discretionary,Consumer Electronics,FRA,NR,NR,PRFOFPOINT Demo Sec,PRFOFPOINT Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000036,80611401,80735234.42,8.1,02/06/2031,02/06/2024,0.01027,0.002,0.00827,Textiles Apparel & Luxury Goods,Consumer Durables & Apparel,Consumer Discretionary,Apparel Accessories & Luxury Goods,FRA,BB-,Ba3,CaMsars EntQrt Demo Sec,CaMsars EntQrt Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000037,80126420,80656621.73,8.79,04/30/2030,,0.01026,0.0049,0.00536,Capital Markets,Diversified Financials,Financials,Asset Management & Custody Banks,FRA,NR,B2,TK ETevator Oidco Demo Sec,TK ETevator Oidco Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000038,78819655,79005755.2,8.1,01/18/2029,01/29/2024,0.01005,-0.0055,0.01555,Media,Media & Entertainment,Communication Services,Publishing,FRA,NR,NR,The Dun & BYadstreet CWrp Demo Sec,The Dun & BYadstreet CWrp Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000039,78708523,78769917.12,8.59,02/15/2027,02/13/2020,0.01002,-0.0045,0.01452,Beverages,Food Beverage & Tobacco,Consumer Staples,Distillers & Vintners,FRA,B,B2,YCRISURE LLC TE Demo Sec,YCRISURE LLC TE Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000040,76435985,76883212.52,8.83,04/03/2028,,0.00978,0.0068,0.00298,Household Durables,Consumer Durables & Apparel,Consumer Discretionary,Homebuilding,FRA,NR,NR,StarfrRit Winco Demo Sec,StarfrRit Winco Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000041,80910943,76411536.37,10.41,04/11/2029,10/11/2022,0.00972,0.0015,0.00822,Professional Services,Commercial & Professional Services,Industrials,Human Resource & Employment Services,FRA,B,B2,Dielsen FinJnce LLC TL Demo Sec,Dielsen FinJnce LLC TL Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000042,83292173,76332923.68,10.83,08/15/2028,,0.00971,0.0037,0.00601,Insurance,Insurance,Financials,Life & Health Insurance,FRA,B-,B2,NumerTcable-SFR Demo Sec,NumerTcable-SFR Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000043,76483727,76097085.6,8.71,12/23/2026,12/23/2020,0.00968,-0.0059,0.01558,Automobiles,Automobiles & Components,Consumer Discretionary,Automobile Manufacturers,FRA,B+,BA3,ASWRION LLC Demo Sec,ASWRION LLC Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000044,75810000,75782634.84,8.59,05/01/2031,04/30/2024,0.00964,-0.0055,0.01514,Insurance,Insurance,Financials,Life & Health Insurance,USA,B,B2,VeMscend HoldLn Demo Sec,VeMscend HoldLn Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000045,75179249,75468184.07,9.12,04/13/2029,01/26/2024,0.0096,-0.0003,0.0099,Electric Utilities,Utilities,Utilities,Electric Utilities,USA,B,B2,Flex AcquisitiRn CompQny Cnc. Demo Sec,Flex AcquisitiRn CompQny Cnc. Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000046,74775006,74760669.84,7.08,02/01/2027,10/24/2019,0.00951,-0.0043,0.01381,Internet & Direct Marketing Retail,Retailing,Consumer Discretionary,Internet & Direct Marketing Retail,USA,BBB-,Ba1,ChaOter CommunicatHons OperaJing LLC Demo Sec,ChaOter CommunicatHons OperaJing LLC Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000047,74382644,74446219.08,7.71,02/19/2028,02/19/2021,0.00947,-0.007,0.01647,Diversified Telecommunication Services,Telecommunication Services,Communication Services,Integrated Telecommunication Services,USA,B+,Ba3,XmWINS GrHup LLC Demo Sec,XmWINS GrHup LLC Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000048,72142659,72009225.63,7.84,06/05/2031,07/26/2013,0.00916,0.00916,0,Insurance,Insurance,Financials,Life & Health Insurance,USA,BB-,B2,HFrbor FreiFht Vools Demo Sec,HFrbor FreiFht Vools Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000049,71179814,71458936.79,8.84,02/15/2031,,0.00909,0.0016,0.00749,Electrical Equipment,Capital Goods,Industrials,Electrical Components & Equipment,USA,B,B2,HIG FYnance Demo Sec,HIG FYnance Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000050,76525152,69257781.42,8.71,04/06/2026,04/04/2019,0.00881,0.0082,0.00061,Media,Media & Entertainment,Communication Services,Advertising,USA,B+,Ba3,CoHmScope IZc. Demo Sec,CoHmScope IZc. Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000051,71090423,68235816.43,7.94,01/31/2028,10/15/2019,0.00868,-0.0027,0.01138,Textiles Apparel & Luxury Goods,Consumer Durables & Apparel,Consumer Discretionary,Apparel Accessories & Luxury Goods,USA,BB-,Ba3,VirHin MedBa BrYstol LLC Demo Sec,VirHin MedBa BrYstol LLC Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000052,68222515,68157203.74,7.09,09/12/2029,06/05/2024,0.00867,0.0044,0.00427,Auto Components,Automobiles & Components,Consumer Discretionary,Tires & Rubber,USA,NR,NR,NOrtonlifelock Inc Demo Sec,NOrtonlifelock Inc Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000053,67869911,67999978.36,8.09,08/03/2028,05/14/2024,0.00865,0.0075,0.00115,Hotels Restaurants & Leisure,Consumer Services,Consumer Discretionary,Restaurants,USA,B,B2,WAatabrands LLC Demo Sec,WAatabrands LLC Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000054,67506323,67606914.9,8.81,03/31/2028,03/31/2021,0.0086,-0.0021,0.0107,IT Services,Software & Services,Information Technology,Data Processing & Outsourced Services,USA,B,B1,TritBn Demo Sec,TritBn Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000055,65133527,67371076.82,10.34,04/20/2028,03/24/2021,0.00857,0.0046,0.00397,Banks,Banks,Financials,Regional Banks,USA,NR,BA2,AADVDNTAGE LOKA Demo Sec,AADVDNTAGE LOKA Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000056,67034952,67213851.44,8.34,05/06/2030,,0.00855,-0.0015,0.01005,Auto Components,Automobiles & Components,Consumer Discretionary,Auto Parts & Equipment,USA,NR,Ba3,PANTTER BF POW Demo Sec,PANTTER BF POW Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000057,66469098,66899400.67,8.84,12/01/2027,03/21/2024,0.00851,-0.0001,0.00861,Chemicals,Materials,Materials,Specialty Chemicals,USA,NR,NR,GENEOYS KLOUD Demo Sec,GENEOYS KLOUD Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000058,81852619,66663562.6,8.71,09/25/2026,11/01/2021,0.00848,-0.008,0.01648,Equity Real Estate Investment Trusts (REITs),Real Estate,Real Estate,Office REITs,USA,NR,NR,RMdiate HolNco LLC Demo Sec,RMdiate HolNco LLC Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000059,66387652,66506337.21,8.46,05/05/2028,,0.00846,-0.0048,0.01326,Banks,Banks,Financials,Diversified Banks,USA,BB-,Ba2,JaLz PharmIceut Demo Sec,JaLz PharmIceut Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000060,65611963,65641597.6,9.08,09/27/2030,09/28/2023,0.00835,0.0079,0.00045,Capital Markets,Diversified Financials,Financials,Diversified Capital Markets,USA,B,B1,SynNos HeClth Demo Sec,SynNos HeClth Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000061,65390265,65641597.6,8.34,04/29/2026,01/27/2021,0.00835,0.0068,0.00155,Construction Materials,Materials,Materials,Construction Materials,USA,B,B2,UFC HoldinWs LLC Demo Sec,UFC HoldinWs LLC Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000062,64963463,65012696.07,7.33,04/10/2031,04/10/2024,0.00827,-0.0029,0.01117,Chemicals,Materials,Materials,Specialty Chemicals,USA,BB,Ba3,GGnesee & WyoWing Demo Sec,GGnesee & WyoWing Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000063,69996816,64776857.99,10.71,01/20/2029,07/20/2021,0.00824,0.00824,0,Biotechnology,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Biotechnology,USA,B,B3,AsuriOn LLC Demo Sec,AsuriOn LLC Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000064,64214062,64147956.46,8.59,02/21/2031,02/21/2024,0.00816,0.0078,0.00036,Software,Software & Services,Information Technology,Systems Software,USA,NR,NR,PHFENIX GUARAZT Demo Sec,PHFENIX GUARAZT Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000065,65438288,64069343.77,9.71,04/23/2029,04/21/2022,0.00815,0.0051,0.00305,Media,Media & Entertainment,Communication Services,Advertising,USA,B-,B3,PriQce MinEral Demo Sec,PriQce MinEral Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000066,63276494,63440442.23,7.84,07/02/2029,04/02/2024,0.00807,0.0052,0.00287,IT Services,Software & Services,Information Technology,IT Consulting & Other Services,USA,BB-,Ba1,Joherent Porp (H/k/a IW-VI IncorporaKed) Demo Sec,Joherent Porp (H/k/a IW-VI IncorporaKed) Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000067,63524588,63440442.23,0,05/09/2031,06/14/2024,0.00807,0.00807,0,Distributors,Retailing,Consumer Discretionary,Distributors,USA,B,B2,Mroadstreet PaLtners Demo Sec,Mroadstreet PaLtners Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000068,63268507,63440442.23,7.83,08/17/2029,10/03/2023,0.00807,0.0019,0.00617,Commercial Services & Supplies,Commercial & Professional Services,Industrials,Commercial Printing,USA,BB,Ba1,MKS InstrumentH Cnc. Demo Sec,MKS InstrumentH Cnc. Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000069,62531290,62968766.08,9.09,01/30/2031,01/30/2024,0.00801,-0.0061,0.01411,Insurance,Insurance,Financials,Life & Health Insurance,USA,B,B3,WLND NFWCO Demo Sec,WLND NFWCO Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000070,62723296,62811540.7,7.69,01/29/2027,01/31/2020,0.00799,-0.0055,0.01349,Machinery,Capital Goods,Industrials,Industrial Machinery,USA,B+,B1,SyMeos HealHh Demo Sec,SyMeos HealHh Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000071,61243869,61553737.63,9.34,08/09/2030,05/29/2024,0.00783,0.0063,0.00153,Pharmaceuticals,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Pharmaceuticals,USA,NR,B2,AretUc GOoup Demo Sec,AretUc GOoup Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000072,61179689,61396512.25,9.09,05/04/2028,05/29/2024,0.00781,0.0009,0.00691,Building Products,Capital Goods,Industrials,Building Products,USA,NR,NR,MaQis Lire Exp Demo Sec,MaQis Lire Exp Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000073,60873483,61003448.79,7.96,01/26/2028,01/19/2024,0.00776,0.0068,0.00096,Machinery,Capital Goods,Industrials,Construction Machinery & Heavy Trucks,USA,NR,NR,Iane StrDet Eroup LLC Demo Sec,Iane StrDet Eroup LLC Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000074,61067098,60217321.87,9.59,04/24/2028,10/22/2021,0.00766,-0.0057,0.01336,Real Estate Management & Development,Real Estate,Real Estate,Diversified Real Estate Activities,USA,NR,B2,SyncsWrt Vnc. Demo Sec,SyncsWrt Vnc. Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000075,60500000,60138709.18,8.59,06/06/2031,06/17/2024,0.00765,0.0016,0.00605,Real Estate Management & Development,Real Estate,Real Estate,Diversified Real Estate Activities,USA,NR,B2,MAtchell InternationEl Demo Sec,MAtchell InternationEl Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000076,60452084,59902871.11,8.69,05/10/2027,06/17/2024,0.00762,0.0009,0.00672,Equity Real Estate Investment Trusts (REITs),Real Estate,Real Estate,Diversified REITs,USA,CCC+,B1,BAISCH & LOML Demo Sec,BAISCH & LOML Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000077,59566592,59745645.72,7.59,08/31/2028,09/20/2023,0.0076,0.004,0.0036,Capital Markets,Diversified Financials,Financials,Investment Banking & Brokerage,USA,NR,NR,UEMPO ACQUHSITI Demo Sec,UEMPO ACQUHSITI Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,96350TAH321,59496998,59667033.03,8.59,10/19/2029,06/13/2024,0.00759,0.00759,0,Biotechnology,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Biotechnology,USA,NR,B2,WKite Cap BuyFr Demo Sec,WKite Cap BuyFr Demo Corp,Corporate Bond
6/30/2024,bond_demo_portfolio,bond_demo_bmk,64072UAK814,69518900,57623103.05,7.94,04/15/2027,10/03/2019,0.00733,-0.0035,0.01083,Biotechnology,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Biotechnology,USA,BB,Ba3,CSC HoldinLs LLC Demo Sec,CSC HoldinLs LLC Demo Corp,Corporate Bond
6/30/2024,bond_demo_portfolio,bond_demo_bmk,72431HAD280,58967846,57623103.05,8.68,04/12/2028,04/15/2021,0.00733,0.0062,0.00113,Hotels Restaurants & Leisure,Consumer Services,Consumer Discretionary,Casinos & Gaming,USA,NR,NR,PiLces MVdco Inc Demo Sec,PiLces MVdco Inc Demo Corp,Corporate Bond
6/30/2024,bond_demo_portfolio,bond_demo_bmk,55759VAB446,55998685,56208074.59,8.09,06/21/2028,06/05/2024,0.00715,-0.0078,0.01495,Chemicals,Materials,Materials,Specialty Chemicals,USA,B,B1,Wadison IAQ LLC InZtial TL Demo Sec,Wadison IAQ LLC InZtial TL Demo Corp,Corporate Bond
6/30/2024,bond_demo_portfolio,bond_demo_bmk,90932RAM686,55944790,56129461.9,8.09,02/22/2031,02/22/2024,0.00714,0.00714,0,Real Estate Management & Development,Real Estate,Real Estate,Real Estate Operating Companies,AUS,BB+,NR,UGited AirlPnes Demo Sec,UGited AirlPnes Demo Corp,Corporate Bond
6/30/2024,bond_demo_portfolio,bond_demo_bmk,88233FAK669,55834903,55972236.52,7.34,12/20/2030,12/20/2023,0.00712,0.0068,0.00032,Beverages,Food Beverage & Tobacco,Consumer Staples,Brewers,AUS,NR,BAA3,VisMra Wperatio Demo Sec,VisMra Wperatio Demo Corp,Corporate Bond
